"","ID","exposure","exp_time","history"
"1",NA,NA,NA,NA
"2",1,"A",2,"1"
"3",2,"A",2,"0"
"4",3,"A",2,"1"
"5",4,"A",2,"1"
"6",5,"A",2,"1"
"7",6,"A",2,"1"
"8",7,"A",2,"0"
"9",8,"A",2,"0"
"10",9,"A",2,"1"
"11",10,"A",2,"1"
"12",11,"A",2,"1"
"13",12,"A",2,"1"
"14",13,"A",2,"0"
"15",14,"A",2,"0"
"16",15,"A",2,"0"
"17",16,"A",2,"0"
"18",17,"A",2,"0"
"19",18,"A",2,"1"
"20",19,"A",2,"1"
"21",20,"A",2,"1"
"22",21,"A",2,"0"
"23",22,"A",2,"0"
"24",23,"A",2,"1"
"25",24,"A",2,"1"
"26",25,"A",2,"1"
"27",26,"A",2,"1"
"28",27,"A",2,"0"
"29",28,"A",2,"0"
"30",29,"A",2,"0"
"31",30,"A",2,"1"
"32",31,"A",2,"0"
"33",32,"A",2,"1"
"34",33,"A",2,"0"
"35",34,"A",2,"1"
"36",35,"A",2,"1"
"37",36,"A",2,"1"
"38",37,"A",2,"1"
"39",38,"A",2,"1"
"40",39,"A",2,"0"
"41",40,"A",2,"0"
"42",41,"A",2,"0"
"43",42,"A",2,"0"
"44",43,"A",2,"1"
"45",44,"A",2,"0"
"46",45,"A",2,"0"
"47",46,"A",2,"0"
"48",47,"A",2,"1"
"49",48,"A",2,"0"
"50",49,"A",2,"0"
"51",50,"A",2,"1"
"52",1,"A",3,"1-1"
"53",2,"A",3,"1-1"
"54",3,"A",3,"1-1"
"55",4,"A",3,"1-1"
"56",5,"A",3,"1-1"
"57",6,"A",3,"1-1"
"58",7,"A",3,"0-1"
"59",8,"A",3,"0-0"
"60",9,"A",3,"1-0"
"61",10,"A",3,"1-1"
"62",11,"A",3,"1-0"
"63",12,"A",3,"1-0"
"64",13,"A",3,"0-0"
"65",14,"A",3,"0-1"
"66",15,"A",3,"0-1"
"67",16,"A",3,"0-0"
"68",17,"A",3,"0-0"
"69",18,"A",3,"1-1"
"70",19,"A",3,"1-0"
"71",20,"A",3,"1-1"
"72",21,"A",3,"0-1"
"73",22,"A",3,"0-1"
"74",23,"A",3,"1-0"
"75",24,"A",3,"1-1"
"76",25,"A",3,"1-0"
"77",26,"A",3,"1-1"
"78",27,"A",3,"0-0"
"79",28,"A",3,"0-1"
"80",29,"A",3,"0-0"
"81",30,"A",3,"1-0"
"82",31,"A",3,"0-1"
"83",32,"A",3,"1-0"
"84",33,"A",3,"0-0"
"85",34,"A",3,"1-1"
"86",35,"A",3,"1-1"
"87",36,"A",3,"1-1"
"88",37,"A",3,"1-1"
"89",38,"A",3,"1-0"
"90",39,"A",3,"0-1"
"91",40,"A",3,"0-0"
"92",41,"A",3,"1-1"
"93",42,"A",3,"1-0"
"94",43,"A",3,"1-0"
"95",44,"A",3,"1-1"
"96",45,"A",3,"0-1"
"97",46,"A",3,"0-1"
"98",47,"A",3,"1-1"
"99",48,"A",3,"0-0"
"100",49,"A",3,"0-0"
"101",50,"A",3,"1-1"
